Sn.,Items,Unit,Price,Total,,Actual Expe,GRAND TOT,Actual Expe,Diff
,Dowery,,,,,,,,
Dowery,Cow,2,1500000,3000000,1500000,1500000,22419000,5614000,16805000
Dowery,Sofaset,1,650000,650000,,650000,,,
Dowery,Water tank,1,400000,400000,,,,,
Dowery,Refrigerator,1,800000,800000,,,,,
Dowery,Father's suit,1,100000,100000,,,,,
Dowery,Senga's Goats,3,200000,600000,,,,,
Dowery,Mother's Goats,3,200000,600000,,600000,,,
Dowery,Mother's Gomesi,1,100000,100000,,,,,
Dowery,Senga's Gomesi,1,100000,100000,,,,,
Dowery,Mukodomi Kanzu,3,80000,240000,,,,,
Dowery,Match box,1,100000,100000,,,,,
Dowery,Soap,5,50000,250000,,,,,
Dowery,Wedding support,1,500000,500000,,500000,,,
Dowery,Sugar,50,5000,250000,,,,,
Dowery,Soda (Crates),5,20000,100000,,,,,
,TRANSPORT,,,,,,,,
TRANSPORT,Vehicles+Fuel,4,400000,1600000,,,,,
,,,,,,,,,
,SUB TOTAL,,,,9390000,,,,
Bride,BRIDE,,,,,,,,
Bride,Flower girl,2,25000,50000,,,,,
Bride,Gomesi,1,400000,400000,,400000,,,
Bride,Wedding gown,1,300000,300000,,300000,,,
Bride,Changing dress,1,150000,150000,,50000,,,
Bride,Maids,4,50000,200000,,,,,
Bride,Makeup,1,500000,500000,,200000,,,
Bride,Saloon,1,100000,100000,,,,,
,SUB TOTAL,,,,1700000,,,,
,BRIDEGROOM,,,,,,,,
Bridegroom,Suits,5,50000,250000,,,,,
Bridegroom,Peg boy,1,10000,10000,,,,,
,SUB TOTAL,,,0,260000,,,,
,RECEPTION,,,,,,,,
Reception,Rice,150,4600,690000,,390000,,,
Reception,Goat,1,200000,200000,,,,,
Reception,Meat,100,13000,1300000,,,,,
Reception,Matooke,10,15000,150000,,,,,
Reception,Irish potatoes (Sack),1,150000,150000,,,,,
Reception,Fish,10,10000,100000,,,,,
Reception,Eggs,5,13000,65000,,,,,
Reception,Cabbages,20,2000,40000,,,,,
Reception,Beans (basins),2,35000,70000,,,,,
Reception,Carrots & Green papers,1,40000,40000,,,,,
Reception,G. nuts,5,8000,40000,,,,,
Reception,Cassava flour (KG),50,2000,100000,,,,,
Reception,Chicken,20,20000,400000,,150000,,,
Reception,Cooking oil (20 litres),1,200000,200000,,,,,
Reception,Salt (20 kg),1,30000,30000,,,,,
Reception,Fire wood,1,200000,200000,,200000,,,
Reception,Tomatoes & Onions,1,200000,200000,,,,,
Reception,Mineral water (cartons),400,450,180000,,,,,
Reception,Soda (Crates),5,20000,100000,,,,,
Reception,Microns,1,20000,20000,,,,,
Reception,Catering Services,1,1000000,1000000,,,,,
Reception,SUB TOTAL,,,0,5275000,,,,
,PAVILION,,,0,,,,,
Pavilion,Tents,8,50000,400000,,,,,
Pavilion,Plastics chairs,400,500,200000,,,,,
Pavilion,Decoration,1,1000000,1000000,,,,,
Pavilion,Cake,1,600000,600000,,,,,
,SUB TOTAL,,,0,2200000,,,,
,ENTERTAINMENT,1,400000,400000,,,,,
Entertainment,Radio,1,500000,500000,,,,,
Entertainment,MC,1,200000,200000,,,,,
Entertainment,Video coverage & Photos,1,700000,700000,,,,,
Entertainment,Invitation cards,500,500,250000,,100000,,,
Entertainment,Miscellaneous,1,1000000,1000000,,,,,
,SUB TOTAL,,,0,3050000,,,,
,Hom Renovation,,,0,,,,,
Hom Renovation,Sand,1,80000,80000,,80000,,,
Hom Renovation,Breaks,1,140000,140000,,140000,,,
Hom Renovation,Cement,6,34000,204000,,204000,,,
Hom Renovation,Builders,1,120000,120000,,150000,,,
,,,,0,,,,,
,,,,0,544000,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,
,,,,0,,,,,